x,sin_x,ann_x
0.25,0.479426,0.00458629
0.275,0.522687,0.00504529
0.3,0.564642,0.00550383
0.325,0.605186,0.00596188
0.35,0.644218,0.00641939
0.375,0.681639,0.00687632
0.4,0.717356,0.00733263
0.425,0.75128,0.00778828
0.45,0.783327,0.00824322
0.475,0.813416,0.00869741
0.5,0.841471,0.00915082
0.525,0.867423,0.0096034
0.55,0.891207,0.0100551
0.575,0.912764,0.0105059
0.6,0.932039,0.0109557
0.625,0.948985,0.0114046
0.65,0.963558,0.0118524
0.675,0.975723,0.0122991
0.7,0.98545,0.0127447
0.725,0.992713,0.0131892
0.75,0.997495,0.0136324
0.775,0.999784,0.0140745
0.8,0.999574,0.0145152
0.825,0.996865,0.0149546
0.85,0.991665,0.0153926
0.875,0.983986,0.0158293
0.9,0.973848,0.0162645
0.925,0.961275,0.0166982
0.95,0.9463,0.0171304
0.975,0.92896,0.017561
1,0.909297,0.01799
1.025,0.887362,0.0184174
1.05,0.863209,0.018843
1.075,0.836899,0.019267
1.1,0.808496,0.0196892
1.125,0.778073,0.0201096
1.15,0.745705,0.0205281
1.175,0.711473,0.0209448
1.2,0.675463,0.0213595
1.225,0.637765,0.0217723
1.25,0.598472,0.022183
1.275,0.557684,0.0225917
1.3,0.515501,0.0229984
1.325,0.472031,0.0234029
1.35,0.42738,0.0238053
1.375,0.381661,0.0242054
1.4,0.334988,0.0246034
1.425,0.287478,0.024999
1.45,0.239249,0.0253924
1.475,0.190423,0.0257834
1.5,0.14112,0.026172
1.525,0.0914646,0.0265582
1.55,0.0415807,0.0269419
1.575,-0.00840725,0.0273231
1.6,-0.0583741,0.0277018
1.625,-0.108195,0.0280779
1.65,-0.157746,0.0284514
1.675,-0.206902,0.0288223
1.7,-0.255541,0.0291904
1.725,-0.303542,0.0295559
1.75,-0.350783,0.0299185
1.775,-0.397148,0.0302784
1.8,-0.44252,0.0306355
1.825,-0.486787,0.0309897
1.85,-0.529836,0.0313409
1.875,-0.571561,0.0316893
1.9,-0.611858,0.0320346
1.925,-0.650625,0.032377
1.95,-0.687766,0.0327163
1.975,-0.723188,0.0330525
2,-0.756802,0.0333856
2.025,-0.788525,0.0337156
2.05,-0.818277,0.0340424
2.075,-0.845984,0.0343659
2.1,-0.871576,0.0346862
2.125,-0.894989,0.0350032
2.15,-0.916166,0.0353169
2.175,-0.935053,0.0356272
2.2,-0.951602,0.0359342
2.225,-0.965773,0.0362377
2.25,-0.97753,0.0365378
2.275,-0.986844,0.0368343
2.3,-0.993691,0.0371274
2.325,-0.998054,0.0374169
2.35,-0.999923,0.0377028
2.375,-0.999293,0.0379851
2.4,-0.996165,0.0382637
2.425,-0.990547,0.0385387
2.45,-0.982453,0.0388099
2.475,-0.971903,0.0390774
2.5,-0.958924,0.0393412
2.525,-0.943549,0.0396011
2.55,-0.925815,0.0398571
2.575,-0.905767,0.0401094
2.6,-0.883455,0.0403577
2.625,-0.858934,0.040602
2.65,-0.832267,0.0408424
2.675,-0.80352,0.0410789
2.7,-0.772764,0.0413113
2.725,-0.740077,0.0415396
2.75,-0.70554,0.0417639
2.775,-0.66924,0.041984
2.8,-0.631267,0.0422001
2.825,-0.591716,0.0424119
2.85,-0.550686,0.0426196
2.875,-0.508279,0.042823
2.9,-0.464602,0.0430222
2.925,-0.419764,0.0432171
2.95,-0.373877,0.0434078
2.975,-0.327055,0.043594
3,-0.279415,0.0437759
3.025,-0.231078,0.0439535
3.05,-0.182163,0.0441266
3.075,-0.132792,0.0442953
3.1,-0.0830894,0.0444595
3.125,-0.0331792,0.0446192
3.15,0.0168139,0.0447744
3.175,0.066765,0.0449251
3.2,0.116549,0.0450712
3.225,0.166042,0.0452127
3.25,0.21512,0.0453495
3.275,0.26366,0.0454818
3.3,0.311541,0.0456093
3.325,0.358644,0.0457322
3.35,0.40485,0.0458504
3.375,0.450044,0.0459638
3.4,0.494113,0.0460725
3.425,0.536948,0.0461763
3.45,0.57844,0.0462754
3.475,0.618486,0.0463696
3.5,0.656987,0.046459
3.525,0.693845,0.0465435
3.55,0.728969,0.0466231
3.575,0.762271,0.0466978
3.6,0.793668,0.0467675
3.625,0.823081,0.0468323
3.65,0.850437,0.0468921
3.675,0.875667,0.0469468
3.7,0.898708,0.0469966
3.725,0.919503,0.0470413
3.75,0.938,0.0470809
3.775,0.954152,0.0471155
3.8,0.96792,0.0471449
3.825,0.979268,0.0471692
